pk_teuna_fikt,mispar_rehev_fikt,SHNAT_TEUNA,HODESH_TEUNA,NEFAH,SHNAT_YITZUR,KIVUNE_NESIA,MATZAV_REHEV,SHIYUH_REHEV_LMS,SUG_REHEV_LMS,MEKOMOT_YESHIVA_LMS,MISHKAL_KOLEL_LMS,SUG_TIK
2013055655,1,2013,10,6,2002,0,0,1,1,99,1,3
2013055655,2,2013,10,0,0,0,0,1,17,99,0,3
2013033727,1,2013,10,6,2011,0,0,1,1,3,1,3
2013033727,2,2013,10,6,2008,0,0,1,1,99,,3
2013036350,1,2013,9,8,2003,0,0,1,1,3,1,3
2013036350,2,2013,9,8,2003,0,0,1,1,99,,3
2013040076,1,2013,10,8,2013,0,0,1,1,99,2,3
2013040076,2,2013,10,6,2013,0,0,1,1,3,1,3
2013024128,1,2013,10,5,1998,0,0,1,1,99,1,3
2013024128,2,2013,10,0,0,0,0,1,15,99,0,3
2013029758,1,2013,10,2,2011,0,0,1,10,1,,3
2013030109,1,2013,10,6,2005,0,0,1,1,99,,3
2013030109,2,2013,10,8,2005,0,0,1,1,99,2,3
2013012814,1,2013,8,7,2007,0,0,1,1,3,,3
2013012814,2,2013,8,0,0,0,0,1,17,99,0,3
2013002281,1,2013,10,8,2008,0,0,1,1,99,,3
2013002281,2,2013,10,6,2013,0,0,1,1,3,1,3
2013030686,1,2013,6,6,2008,0,0,1,1,3,,3
2013030686,2,2013,6,5,2011,0,0,1,1,3,1,3
2013048894,1,2013,9,12,2008,0,0,1,4,3,5,3
2013006348,1,2013,10,7,2007,0,0,1,1,5,1,3
2013006348,2,2013,10,6,1994,0,0,1,1,99,1,3
2013035060,1,2013,10,6,2010,0,0,1,1,99,1,3
2013035060,2,2013,10,9,2011,0,0,1,1,5,2,3
2013057123,1,2013,10,9,2011,0,0,1,1,3,2,3
2013057123,2,2013,10,6,1999,0,0,1,1,99,1,3
2013034485,1,2013,10,10,2011,0,0,1,1,3,2,3
2013034485,2,2013,10,12,2009,0,0,1,11,37,11,3
2013032156,1,2013,10,5,2011,0,0,1,1,3,1,3
2013032156,2,2013,10,6,2013,0,0,1,1,99,1,3
2013055270,1,2013,10,0,0,0,0,1,17,99,0,3
2013054145,1,2013,10,6,1999,0,0,1,1,99,,3
2013054145,2,2013,10,6,1994,0,0,1,1,4,,3
2013058858,1,2013,10,6,2008,0,0,1,1,3,,3
2013000445,1,2013,10,12,2011,0,0,1,11,51,11,3
2013000445,2,2013,10,6,1999,0,0,1,1,5,,3
2013032804,1,2013,6,9,2000,0,0,1,3,3,2,3
2013032804,2,2013,6,6,2013,0,0,1,1,3,1,3
2013051092,1,2013,10,6,2007,0,0,1,1,99,1,3
2013051092,2,2013,10,7,1995,0,0,1,1,99,1,3
2013035520,1,2013,10,8,2009,0,0,1,1,99,2,3
2013035520,2,2013,10,6,2013,0,0,1,1,3,1,3
2013035520,3,2013,10,7,2005,0,0,1,1,3,1,3
2013042730,1,2013,10,8,2000,0,0,1,1,99,,3
2013042730,2,2013,10,6,2010,0,0,1,1,3,1,3
2013051091,1,2013,10,6,2010,0,0,1,1,99,1,3
2013051091,2,2013,10,8,2010,0,0,1,12,4,2,3
2013015085,1,2013,10,8,2010,0,0,1,1,5,2,3
2013015085,2,2013,10,6,2007,0,0,1,1,4,,3
2013036198,1,2013,1,0,0,0,0,1,17,99,0,3
2013056784,1,2013,10,7,2006,0,0,1,1,3,,3
2013056784,2,2013,10,0,0,0,0,1,17,99,0,3
2013056405,1,2013,10,6,2013,0,0,1,1,3,2,3
2013056405,2,2013,10,8,2008,0,0,1,1,4,2,3
2013040081,1,2013,10,6,2008,0,0,1,1,99,1,3
2013040081,2,2013,10,6,2012,0,0,1,1,3,1,3
2013013056,1,2013,9,0,0,0,0,1,17,99,0,3
2013043738,1,2013,8,9,2011,0,0,1,1,5,2,3
2013043738,2,2013,8,6,2011,0,0,1,1,3,1,3
2013041573,1,2013,10,6,2007,0,0,1,1,3,,3
2013041573,2,2013,10,7,2008,0,0,1,1,4,1,3
2013006032,1,2013,10,6,2006,0,0,1,1,99,,3
2013006032,2,2013,10,9,1995,0,0,1,3,3,2,3
2013053908,1,2013,10,6,2011,0,0,1,12,3,1,3
2013016845,1,2013,10,6,2003,0,0,1,1,1,1,3
2013016845,2,2013,10,8,2008,0,0,1,1,4,1,3
