pk_teuna_fikt,mispar_rehev_fikt,SHNAT_TEUNA,HODESH_TEUNA,NEFAH,SHNAT_YITZUR,KIVUNE_NESIA,MATZAV_REHEV,SHIYUH_REHEV_LMS,SUG_REHEV_LMS,MEKOMOT_YESHIVA_LMS,MISHKAL_KOLEL_LMS,SUG_TIK
2014096993,1,2014,6,8,2012,4444,0,1,1,99,2,1
2014096993,2,2014,6,4,1994,1122,0,1,19,1,,1
2014019155,1,2014,6,9,2008,2233,0,1,1,3,,1
2014019155,2,2014,6,8,2014,4433,0,1,1,99,2,1
2014061674,1,2014,6,7,2009,4433,0,1,1,3,1,1
2014061674,2,2014,6,6,2003,4433,0,1,1,99,,1
2014019948,1,2014,6,6,2007,2211,0,1,1,99,1,1
2014019948,2,2014,6,0,0,3344,0,9,17,99,0,1
2014061786,1,2014,6,8,2000,1122,0,1,1,99,,1
2014039219,1,2014,6,9,2011,2211,0,1,4,4,3,1
2014039219,2,2014,6,13,2012,1122,0,1,6,99,14,1
2014076230,1,2014,6,6,2009,2211,0,1,1,3,,1
2014076230,2,2014,6,8,2008,4433,0,1,1,99,,1
2014033047,1,2014,10,2,2010,1122,0,1,10,1,,1
2014033047,2,2014,10,9,2011,3344,0,1,1,99,1,1
2014074499,1,2014,10,0,0,0,0,2,17,99,0,1
2014074499,2,2014,10,0,0,1122,0,6,3,99,0,1
2014080174,1,2014,10,6,2005,1122,0,1,1,99,,1
2014047147,1,2014,10,6,2007,3322,0,1,1,3,,1
2014088133,1,2014,10,6,2006,1122,0,1,1,3,,1
2014088133,2,2014,10,0,0,3344,0,1,15,99,0,1
2014084596,1,2014,10,6,2011,2211,0,1,1,99,1,1
2014084596,2,2014,10,7,2011,0,0,1,1,3,2,1
2014066584,1,2014,10,6,2008,3344,0,1,1,99,,1
2014066584,2,2014,10,6,2009,3344,0,1,1,3,1,1
2014066584,3,2014,10,6,2013,3344,0,1,1,3,1,1
2014030525,1,2014,10,10,2012,3344,0,1,1,6,2,1
2014030525,2,2014,10,8,1998,1122,0,1,1,99,1,1
2014044610,1,2014,10,9,2009,4433,0,1,18,13,5,1
2014068105,1,2014,10,6,2011,2211,0,1,1,99,1,1
2014098491,1,2014,10,0,0,2211,0,0,17,99,0,1
2014098491,2,2014,10,6,2007,2211,0,1,1,99,,1
2014050285,1,2014,10,7,2006,3344,0,1,1,3,,1
2014050285,2,2014,10,0,0,0,0,1,17,99,0,1
2014031443,1,2014,10,5,2005,3344,0,1,1,3,1,1
2014031443,2,2014,10,6,2014,4422,0,1,1,3,1,1
2014088891,1,2014,10,9,2012,4433,0,1,11,19,5,1
2014088891,2,2014,10,6,2004,1144,0,1,1,4,,1
2014063711,1,2014,10,6,1997,3344,0,1,1,99,1,1
2014041302,1,2014,10,6,2007,1122,0,1,1,99,1,1
2014039593,1,2014,10,6,1999,3344,0,1,1,99,,1
2014039593,2,2014,10,6,2005,3344,0,1,1,99,,1
2014058309,1,2014,10,9,2010,3344,0,1,1,5,2,1
2014022226,1,2014,10,8,2008,2222,0,1,1,99,2,1
2014039310,1,2014,10,6,2001,2211,0,1,1,99,,1
2014039310,2,2014,10,6,2002,3344,0,1,1,99,,1
2014032792,1,2014,10,9,2006,4433,0,1,2,5,2,1
2014032792,2,2014,10,9,2001,4433,0,1,1,99,,1
2014030294,1,2014,10,10,1999,2211,0,1,3,3,2,1
2014030294,2,2014,10,6,2000,2211,0,1,1,99,1,1
2014091144,1,2014,10,6,2006,3344,0,1,1,4,1,1
2014075694,1,2014,10,6,2007,2211,0,1,1,99,,1
2014075694,2,2014,10,6,2006,2211,0,1,1,99,,1
2014075694,3,2014,10,6,1999,2211,0,1,1,99,,1
2014043209,1,2014,10,13,2006,2211,0,1,7,99,17,1
2014043209,2,2014,10,6,2003,2211,0,1,1,3,1,1
2014089674,1,2014,10,6,2005,3344,0,1,1,99,,1
2014089674,2,2014,10,6,2006,2211,0,1,1,99,,1
2014019996,1,2014,10,6,2009,2211,0,1,1,2,1,1
2014019996,2,2014,10,0,2013,2211,0,3,8,99,0,1
2014054890,1,2014,10,5,2014,2233,0,1,1,3,1,1
2014079803,1,2014,7,9,2006,3322,0,1,2,5,2,1
2014039900,1,2014,7,9,2006,1122,0,1,2,5,2,1
2014039900,2,2014,7,6,1994,1122,0,1,1,4,,1
2014086440,1,2014,10,6,2009,4433,0,1,1,3,1,1
2014086440,2,2014,10,6,2011,1122,0,1,1,3,1,1
2014042074,1,2014,10,8,2008,2211,0,1,1,99,,1
2014042074,2,2014,10,6,2000,1122,0,1,1,99,,1
2014022752,1,2014,10,6,2011,1144,0,1,1,3,1,1
2014022752,2,2014,10,10,2009,1122,0,1,1,5,2,1
2014047674,1,2014,10,0,0,4433,0,0,17,99,0,1
2014047674,2,2014,10,6,2013,4444,0,1,1,3,1,1
2014030365,1,2014,10,6,2007,1122,0,1,1,99,1,1
2014091294,1,2014,10,0,0,2211,0,6,17,99,0,1
2014091294,2,2014,10,6,2009,2211,0,1,1,99,1,1
2014091294,3,2014,10,6,2004,1122,0,1,1,1,,1
2014040097,1,2014,10,6,2001,3344,0,1,1,99,1,1
2014087593,1,2014,10,2,2009,3344,0,1,9,99,,1
2014052248,1,2014,10,6,2001,4433,0,1,1,3,,1
2014048126,1,2014,10,2,2013,4433,0,1,9,1,,1
2014048126,2,2014,10,0,0,3344,0,1,17,99,0,1
2014096690,1,2014,10,6,2010,2211,0,1,12,4,2,1
2014096690,2,2014,10,6,2003,1144,0,1,1,99,,1
2014035427,1,2014,10,6,1997,4411,0,1,1,4,,1
2014070226,1,2014,10,7,2011,2211,0,1,1,3,1,1
2014022156,1,2014,10,6,2009,3344,0,1,1,99,,1
2014054507,1,2014,10,9,2007,3344,0,1,1,3,,1
2014054507,2,2014,10,6,2012,2211,0,1,1,3,1,1
2014076063,1,2014,10,9,2009,1155,0,1,1,3,,1
2014076063,2,2014,10,6,2007,4433,0,1,1,4,,1
2014029984,1,2014,10,6,2014,2266,0,1,1,99,1,1
2014075091,1,2014,10,12,2012,4433,0,1,4,4,4,1
2014075091,2,2014,10,8,2000,1144,0,1,1,99,,1
2014055189,1,2014,10,4,2014,1122,0,1,19,1,1,1
2014055189,2,2014,10,0,2013,1122,0,3,1,99,0,1
2014048413,1,2014,9,2,2013,4433,0,1,10,1,,1
2014048413,2,2014,9,9,2008,2211,0,1,3,3,3,1
2014091401,1,2014,7,6,2009,2211,0,1,1,99,,1
2014091401,2,2014,7,0,0,3344,0,1,17,99,0,1
2014080298,1,2014,7,9,2004,1144,0,1,1,99,,1
2014069634,1,2014,6,9,2008,1122,0,1,3,3,2,1
2014069634,2,2014,6,6,2000,2211,0,1,1,99,,1
2014046327,1,2014,7,13,1999,4433,0,1,11,53,11,1
2014046327,2,2014,7,8,2012,4433,0,1,1,99,1,1
2014084594,1,2014,7,0,0,0,0,1,17,99,0,1
2014084594,2,2014,7,0,0,4433,0,2,17,99,0,1
2014030690,1,2014,7,0,0,0,0,1,17,99,0,1
2014030690,2,2014,7,0,0,0,0,1,17,99,0,1
2014094327,1,2014,7,5,2013,2211,0,1,1,2,1,1
2014042048,1,2014,7,6,2010,1122,0,1,12,3,1,1
2014047040,1,2014,7,6,2012,4433,0,1,12,3,1,1
2014024414,1,2014,7,6,2011,2211,0,1,1,99,1,1
2014069843,1,2014,7,4,2001,2211,0,1,19,1,,1
2014061625,1,2014,7,6,2001,0,0,1,1,4,,1
2014061625,2,2014,7,0,2008,0,0,3,8,99,0,1
2014061625,3,2014,7,0,2013,0,0,3,8,99,0,1
2014070723,1,2014,7,8,2008,1122,0,1,1,99,,1
2014070723,2,2014,7,10,2009,3311,0,1,1,3,,1
2014030404,1,2014,7,8,2001,3333,0,1,1,99,1,1
2014077053,1,2014,7,6,2007,4433,0,1,1,99,,1
2014077053,2,2014,7,8,2002,3344,0,1,2,99,1,1
2014054474,1,2014,6,7,2009,4433,0,1,1,3,1,1
2014054474,2,2014,6,6,2008,1122,0,1,1,3,,1
2014049362,1,2014,7,6,2001,1111,0,1,1,1,,1
2014098957,1,2014,7,8,2002,1122,0,1,1,99,1,1
2014098957,2,2014,7,6,2002,2211,0,1,1,1,,1
2014083235,1,2014,7,0,0,1122,0,1,8,99,0,1
2014095809,1,2014,7,6,1998,2211,0,1,1,99,1,1
2014095809,2,2014,7,6,2004,4433,0,1,1,99,,1
2014076543,1,2014,7,0,0,0,0,1,17,99,0,1
2014076543,2,2014,7,0,2013,2211,0,3,8,99,0,1
2014055509,1,2014,7,6,2008,1122,0,1,1,99,,1
2014041469,1,2014,7,8,2008,2211,0,1,1,4,1,1
2014041469,2,2014,7,6,2002,6633,0,1,1,3,1,1
2014039641,1,2014,7,10,2007,2211,0,1,1,99,,1
2014039641,2,2014,7,6,2011,3344,0,1,1,3,1,1
2014094523,1,2014,7,8,2008,0,0,1,12,4,,1
2014049209,1,2014,6,0,0,4433,0,1,15,99,0,1
2014047134,1,2014,7,9,2009,1122,0,1,1,99,1,1
2014047134,2,2014,7,6,2008,2233,0,1,1,3,,1
2014092535,1,2014,7,10,2009,1111,0,1,1,5,,1
2014092535,2,2014,7,8,2002,2211,0,1,1,3,1,1
2014098018,1,2014,7,6,2013,1122,0,1,1,99,1,1
