UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,LON,LAT,DATA_YEAR,PRDCT_VER,X,Y
65108921,252,4002,אלי-עד,בית ספר דמוקרטי כנף,School,13,5310,269564.4514,746050.7716,35.73953018,32.8080874,2014,7/1/2015,269564.4514,746050.7716
54447612,252,41,אליכין,"בית ספר - ממ""ד רמב""ם",,13,5312,193012.5558,701541.1838,34.9234143,32.40756309,0,,193012.5558,701541.1838
54448472,252,1309,אלעד,בית ספר - ממלכתי דתי בית יעקב,,13,5312,196319.6153,662431.5146,34.95951596,32.05495728,0,,196319.6153,662431.5146
60590899,252,1309,אלעד,בית ספר - חטיבה צעירה,,13,5310,196211.8449,661952.4191,34.95838636,32.0506346,0,,196211.8449,661952.4191
54449791,252,1309,אלעד,בית ספר - לבנות תפארת חיה,,13,5312,195381.2363,661604.0105,34.94960026,32.04747529,0,,195381.2363,661604.0105
54452583,252,1309,אלעד,בית ספר - ממלכתי אור האמת,,13,5312,194927.7024,662308.2849,34.94478029,32.05381665,2014,7/1/2015,194927.7024,662308.2849
54450140,252,1309,אלעד,בית ספר - קהילת הליכות עולם- ברכת אברהם,,13,5312,194942.9461,662263.3701,34.94494285,32.05341194,2014,7/1/2015,194942.9461,662263.3701
54451914,252,1309,אלעד,גן ילדים - דעת יוסף,,13,5305,196260.7221,662493.1109,34.95889087,32.05551154,2014,7/1/2015,196260.7221,662493.1109
54450996,252,1309,אלעד,ישיבה - קרית הישיבה הקדושה,Kiryat HaYeshiva HaKdosha Yeshiva,13,5340,195683.702,661975.8255,34.9527936,32.0508347,0,,195683.702,661975.8255
65107207,252,1309,אלעד,בית ספר - בית יעקב החדש,,13,5330,196916.0262,662105.3722,34.96583893,32.05202818,2014,7/1/2015,196916.0262,662105.3722
54452950,252,1309,אלעד,גן ילדים - גן בית מרגלית,,13,5305,196944.2127,661826.9645,34.9661439,32.04951808,2014,7/1/2015,196944.2127,661826.9645
54448088,252,1309,אלעד,בית ספר - פרו תואר,,13,5312,196067.8124,661549.5724,34.95687107,32.04699878,2014,7/1/2015,196067.8124,661549.5724
54450016,252,1309,אלעד,בית ספר - ממלכתי תורת חיים,,13,5312,195003.9123,662333.367,34.94558662,32.05404449,2014,7/1/2015,195003.9123,662333.367
54448145,252,1309,אלעד,בית ספר - דרך המלך,,13,5312,195209.724,661765.5302,34.94778022,32.0489282,2014,7/1/2015,195209.724,661765.5302
65107045,252,1309,אלעד,גן ילדים - גני פיס,,13,5305,196719.1974,661889.8951,34.96375989,32.05008108,2014,7/1/2015,196719.1974,661889.8951
65107046,252,1309,אלעד,בית ספר - בית מרגלית,,13,5310,196273.8033,662484.5342,34.95902959,32.05543446,2014,7/1/2015,196273.8033,662484.5342
54449469,252,1309,אלעד,בית ספר - לבנות בית יעקב,,13,5312,195480.3341,662175.8727,34.95063527,32.05263442,2014,7/1/2015,195480.3341,662175.8727
54451118,252,1309,אלעד,"גן ילדים - גן אגו""ו",,13,5305,196505.7816,662519.4188,34.96148516,32.05575379,2014,7/1/2015,196505.7816,662519.4188
65108365,252,1309,אלעד,גן ילדים - גני פיס,,13,5305,196799.3751,661951.716,34.96460738,32.05064019,2014,7/1/2015,196799.3751,661951.716
65108366,252,1309,אלעד,בית ספר - בית מרגלים,,13,5330,196303.3425,662483.9198,34.95934239,32.05542953,2014,7/1/2015,196303.3425,662483.9198
54451743,252,1309,אלעד,ישיבת - נר ישראל,,13,5340,196884.279,661906.7454,34.96550743,32.05023634,2014,7/1/2015,196884.279,661906.7454
65108183,252,1309,אלעד,גן ילדים - גן אפרסמון,,13,5305,196931.1591,662019.0722,34.96600119,32.05125024,2014,7/1/2015,196931.1591,662019.0722
65108184,252,1309,אלעד,בית ספר - אור האמת,,13,5312,196788.6032,661996.4942,34.96449227,32.05104378,2014,7/1/2015,196788.6032,661996.4942
54449632,252,1309,אלעד,גן ילדים - גן בית מרגלית,,13,5305,196237.1906,662650.1002,34.9586379,32.05692678,2014,7/1/2015,196237.1906,662650.1002
54450812,252,1309,אלעד,"בית ספר - ממלכתי דתי ממ""ד",,13,5310,195216.6941,661960.0463,34.94784912,32.05068249,2014,7/1/2015,195216.6941,661960.0463
54451239,252,1309,אלעד,בית ספר - אומרי דוד,,13,5312,196835.8124,661700.8904,34.96499909,32.04837898,2014,7/1/2015,196835.8124,661700.8904
54450361,252,1309,אלעד,בית ספר - קהילת יעקב החדשה,,13,5312,196582.7408,662064.8108,34.96231088,32.05165571,2014,7/1/2015,196582.7408,662064.8108
65107558,252,1309,אלעד,גן ילדים - אפרסק,,13,5305,196960.3186,662019.1833,34.96630994,32.05125182,2014,7/1/2015,196960.3186,662019.1833
54452888,252,1309,אלעד,גן ילדים - גן גאולה,Gan Ge'ula Kindergarten,13,5305,196290.7163,662052.3163,34.95921908,32.05153709,2014,7/1/2015,196290.7163,662052.3163
54449956,252,1309,אלעד,"בית ספר - תשב""ר זכרון יעקב",,13,5312,196619.8659,661946.176,34.9627068,32.05058662,2014,7/1/2015,196619.8659,661946.176
54449695,252,1309,אלעד,בית ספר - אוהל אשר,,13,5312,196592.5926,662546.7576,34.96240376,32.05600209,2014,7/1/2015,196592.5926,662546.7576
54452952,252,1309,אלעד,בית ספר - ממלכתי דעת זקנים,,13,5312,196311.9417,662353.8155,34.95943658,32.05425643,2014,7/1/2015,196311.9417,662353.8155
54450727,252,1309,אלעד,בית ספר - תלמוד תורה קהילות יעקב,,13,5312,195542.7671,661989.8722,34.95130097,32.0509584,2014,7/1/2015,195542.7671,661989.8722
54451121,252,1309,אלעד,גן ילדים - גן שירת שרה,,13,5305,196905.5,661772.6652,34.96573527,32.04902763,2014,7/1/2015,196905.5,661772.6652
54450441,252,1309,אלעד,בית ספר - פיס,,13,5312,196489.7728,661916.0821,34.96133004,32.0503126,2014,7/1/2015,196489.7728,661916.0821
54453136,252,1309,אלעד,בית ספר - צמח צדיק ויזניץ,,13,5312,196587.4277,662039.3235,34.96236112,32.05142596,2014,7/1/2015,196587.4277,662039.3235
54451647,252,1309,אלעד,בית ספר - יסודי דתי נועם,,13,5312,196028.5793,662169.6489,34.95644059,32.05258979,2014,7/1/2015,196028.5793,662169.6489
54450393,252,1309,אלעד,ישיבה - אמרי מרדכי,,13,5340,196513.3126,662473.7251,34.961566,32.05534188,2014,7/1/2015,196513.3126,662473.7251
54450843,252,1309,אלעד,גן ילדים - בית מרגלית,,13,5305,195294.4412,661626.1311,34.94868071,32.04767292,2014,7/1/2015,195294.4412,661626.1311
