"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2012,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2012",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
,,,,,,,,,,,,
"Savyon",122,1,1,0,0,23,246,269,"2,025 ","2,418 ","3,300 ","סביון"
"Ghajar",1,0,6,7,13,25,86,111,"359 ","497 ","2,300 ","ע'ג'ר"
"Omer",93,21,12,5,10,101,338,439,"3,503 ","4,083 ","7,200 ","עומר"
"Eilabun",26,1,8,13,5,34,236,270,"1,524 ","1,847 ","5,200 ","עיילבון"
"Ilut",10,1,4,1,11,172,479,651,"1,232 ","1,910 ","7,200 ","עילוט"
"Ein Mahel",7,1,18,16,16,54,408,462,"2,382 ","2,902 ","11,800 ","עין מאהל"
"Ein Qiniyye",8,0,2,0,18,18,149,167,"498 ","693 ","1,900 ","עין קנייא"
"Immanu'el",22,0,1,0,3,11,59,70,"291 ","387 ","3,000 ","עמנואל"
"Isifya",52,6,54,11,31,70,466,536,"3,167 ","3,857 ","11,300 ","עספיא"
"Arrabe",37,8,26,16,55,210,"1,140","1,350","5,038 ","6,530 ","22,800 ","עראבה"
"Ar'ara",105,4,31,14,27,128,"1,002","1,130","4,295 ","5,606 ","21,100 ","ערערה"
"Ar'ara-BaNegev",4,0,2,1,44,94,435,529,"1,096 ","1,676 ","14,200 ","ערערה-בנגב"
"Fureidis",62,1,0,11,44,110,438,548,"2,267 ","2,933 ","12,100 ","פוריידיס"
"Fassuta",6,4,16,1,1,17,169,186,"939 ","1,153 ","2,900 ","פסוטה"
"Peqi'in (Buqei'a)",13,0,21,125,24,55,285,340,"1,484 ","2,007 ","5,400 ","פקיעין (בוקייעה)"
"Pardes Hanna-Karkur",443,4,50,75,68,235,"1,255","1,490","10,256 ","12,386 ","34,800 ","פרדס חנה-כרכור"
"Pardesiyya",113,3,19,1,5,47,206,253,"2,260 ","2,654 ","5,500 ","פרדסייה"
"Qedumim",23,0,0,0,4,16,135,151,"814 ","992 ","4,100 ","קדומים"
"Qadima-Zoran",321,10,47,24,22,257,762,"1,019","5,450 ","6,893 ","18,000 ","קדימה-צורן"
"Qazir-Harish",31,1,2,0,2,17,134,151,"976 ","1,163 ","3,300 ","קציר-חריש"
"Qazrin",66,1,10,30,32,39,234,273,"1,973 ","2,385 ","6,700 ","קצרין"
