pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2017000826,1,1,2,6600,807,,10,,,,,,20,2017,5,9,68,4,1,3,9,3,1,8,1,0,1,1,2,4,1,,1,1,9,9,9,2,2,1,5,51,513,0,14,1,177985,656876
2017000839,1,1,1,469,182,192,,240018,,,,,52,2017,9,3,68,4,1,1,0,3,2,8,3,0,1,1,2,3,1,6,1,1,9,9,9,0,0,9,4,44,441,99,17,1,182872,641655
2017000864,1,1,4,0,,,,,40,0,2770,,52,2017,4,3,86,4,5,2,9,3,3,8,0,2,5,1,5,3,3,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,191174,651961
2017000908,1,1,2,7900,1006,,3,,,,,,51,2017,3,9,81,2,5,5,9,3,2,8,1,0,1,1,2,3,3,,1,1,9,9,9,0,0,9,4,42,422,0,13,3,187619,667093
2017000918,1,1,1,3000,4762,4316,,92871276,,,,,61,2017,1,1,48,4,1,1,9,3,3,6,0,2,3,1,3,3,1,,1,1,9,9,9,0,0,9,1,11,111,0,12,1,222328,634703
2017000953,1,1,2,3000,4146,,17,,,,,,61,2017,1,22,25,4,5,1,9,3,4,8,3,0,1,1,2,3,6,,1,1,9,9,9,0,0,9,1,11,111,0,12,3,223848,630700
2017000955,1,1,2,4201,0,,9999,,,,,,12,2017,6,26,67,4,1,2,9,2,1,8,3,0,1,1,2,3,1,,1,1,9,9,9,1,2,1,2,29,291,99,27,2,272172,796603
2017000971,1,1,4,0,,,,,89,0,90,,11,2017,7,6,42,4,1,5,9,3,8,8,0,2,5,1,4,3,1,,1,1,6,9,9,0,0,9,9,99,999,99,99,1,209657,767860
2017000977,1,1,3,0,,,,,44,40,235,743,52,2017,4,1,78,4,5,7,1,3,2,8,0,2,4,1,3,3,6,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,189175,647884
2017000981,1,1,1,4000,883,880,,8310212,,,,,11,2017,1,22,46,4,1,1,9,3,2,8,3,0,1,3,2,3,1,6,1,1,9,9,9,0,0,9,3,31,311,0,13,1,200564,746139
2017000991,1,1,3,0,,,,,232,334,597,1793,38,2017,3,22,31,4,1,4,1,3,2,9,0,3,5,1,3,4,1,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,163035,604316
2017001005,1,1,2,1154,,,9999,,,,,,14,2017,2,24,41,4,1,6,9,2,10,4,3,0,1,4,1,4,1,7,1,6,9,9,9,0,0,9,2,23,231,7,34,2,239093,704974
2017001012,1,1,4,0,,,,,781,0,130,,12,2017,5,6,49,4,1,7,9,2,2,8,3,0,4,0,3,3,1,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,207573,746979
2017001013,1,1,2,7900,156,,9999,,,,,,51,2017,5,3,41,4,1,4,9,3,5,8,3,0,1,1,0,5,1,,1,1,9,9,9,0,0,9,4,42,422,0,13,3,186829,665921
2017001018,1,1,1,5000,821,814,,120413,,,,,20,2017,7,16,69,4,1,1,9,3,2,8,3,0,1,1,3,3,1,7,1,1,9,9,9,0,0,9,5,51,511,0,13,1,180559,666818
2017001022,1,1,2,7900,928,,13,,,,,,51,2017,5,21,53,4,1,1,9,3,2,9,0,3,1,1,4,3,1,5,1,1,9,9,9,0,0,9,4,42,422,0,13,1,187758,666179
2017001026,1,1,2,8500,124,,9999,,,,,,52,2017,9,11,33,4,1,2,9,3,1,8,0,3,1,1,1,3,1,7,1,1,9,9,9,3,3,2,4,43,432,0,15,3,189210,648697
2017001031,1,1,2,70,500,,10,,,,,,38,2017,7,17,81,4,5,2,9,3,2,9,3,0,1,0,2,3,6,5,1,1,9,9,9,0,0,9,6,61,613,0,13,1,167757,635734
2017001035,1,1,3,0,,,,,70,85,661,1227,11,2017,7,24,79,4,1,2,1,3,2,8,0,2,5,1,5,3,1,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,215919,757449
2017001037,1,1,1,6500,478,453,,8990004,,,,,11,2017,6,22,64,4,1,5,9,3,2,8,1,0,1,1,2,3,1,6,1,1,9,9,9,0,0,9,3,32,324,0,15,1,191670,705276
2017001046,1,1,2,70,310,,5,,,,,,38,2017,3,27,55,4,1,2,9,3,1,8,0,2,1,1,3,4,1,,1,1,9,9,9,3,3,1,6,61,613,0,13,1,167162,632741
