"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2013,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2012",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
,,,,,,,,,,,,
"Metar",88,1,18,2,3,41,216,257,"2,829 ","3,198 ","6,859 ","מיתר"
"Mas'ade",5,1,0,2,20,56,355,411,"855 ","1,294 ","3,345 ","מסעדה"
"Mi'elya",8,1,6,3,7,32,243,275,"1,023 ","1,323 ","3,090 ","מעיליא"
"Ma'ale Efrayim",19,0,0,0,3,12,37,49,"357 ","428 ","1,119 ","מעלה אפרים"
"Ma'ale Iron",42,5,5,1,24,134,704,838,"2,939 ","3,854 ","13,722 ","מעלה עירון"
"Mizpe Ramon",37,0,0,6,7,18,177,195,"975 ","1,220 ","5,063 ","מצפה רמון"
"Meshhed",7,0,13,5,17,226,408,634,"1,484 ","2,160 ","7,424 ","משהד"
"Nahef",39,7,13,4,10,39,498,537,"2,325 ","2,935 ","11,749 ","נחף"
"Sajur",5,0,19,0,7,15,87,102,"900 ","1,033 ","3,937 ","סאג'ור"
"Savyon",127,1,1,0,1,21,218,239,"2,140 ","2,509 ","3,343 ","סביון"
"Ghajar",4,0,7,6,11,24,83,107,"395 ","530 ","2,301 ","ע'ג'ר"
"Omer",108,17,13,5,9,111,348,459,"3,604 ","4,215 ","7,193 ","עומר"
"Eilabun",22,1,7,15,7,39,246,285,"1,619 ","1,956 ","5,182 ","עיילבון"
"Ilut",12,1,4,1,6,196,478,674,"1,328 ","2,026 ","7,166 ","עילוט"
"Ein Mahel",13,1,18,11,15,52,425,477,"2,472 ","3,007 ","11,784 ","עין מאהל"
"Ein Qiniyye",7,0,2,0,19,19,151,170,"522 ","720 ","1,871 ","עין קנייא"
"Immanu'el",24,0,1,0,3,14,55,69,"317 ","414 ","3,013 ","עמנואל"
"Isifya",48,6,55,11,41,83,457,540,"3,238 ","3,939 ","11,283 ","עספיא"
"Arrabe",41,7,26,24,58,234,"1,153","1,387","5,330 ","6,873 ","22,777 ","עראבה"
"Ar'ara",112,5,33,15,24,138,980,"1,118","4,524 ","5,831 ","21,086 ","ערערה"
"Ar'ara-BaNegev",1,0,2,3,55,109,435,544,"1,194 ","1,799 ","14,196 ","ערערה-בנגב"
"Fureidis",81,1,1,7,45,122,429,551,"2,426 ","3,112 ","12,138 ","פוריידיס"
"Fassuta",5,4,15,1,0,23,175,198,"979 ","1,202 ","2,911 ","פסוטה"
