pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2014000090,1,1,2,9000,102,,9999,,,,,,34,2014,2,14,1,4,5,6,9,3,3,8,0,3,3,1,4,3,6,,1,1,9,9,9,0,0,9,6,62,623,0,14,3,181948,572620
2014000091,1,1,4,0,,,,,4,0,1435,,51,2014,2,9,1,4,5,1,9,3,3,8,0,3,5,1,3,3,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,190695,689195
2014000100,1,1,4,0,,,,,6,0,1780,,11,2014,2,27,1,4,5,5,9,3,3,9,0,2,7,1,3,3,10,,1,1,6,9,9,0,0,9,9,99,999,99,99,1,202204,703133
2014000114,1,1,2,6400,652,,1,,,,,,20,2014,3,24,1,4,5,2,9,3,3,9,3,0,1,1,3,3,6,,1,1,9,9,9,0,0,9,5,51,511,0,15,1,181862,676742
2014000118,1,1,1,9000,281,811,,11070312,,,,,34,2014,3,31,1,4,5,2,1,3,3,9,3,0,2,1,3,3,6,2,1,1,9,9,9,0,0,9,6,62,623,0,14,1,180604,576005
2014000124,1,1,4,0,,,,,65,0,185,,11,2014,4,18,1,3,5,6,9,3,3,9,0,3,5,0,3,3,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,206135,711434
2014000129,1,1,4,0,,,,,70,0,240,,11,2014,4,27,1,4,5,1,9,3,3,9,0,2,5,1,4,3,10,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,204986,724444
2014000131,1,1,2,6600,875,,9999,,,,,,20,2014,4,25,1,4,5,6,9,3,3,9,0,3,1,1,0,3,6,,1,1,9,9,9,0,0,9,5,51,513,0,14,3,179178,657464
2014000133,1,1,1,6200,612,626,,9020522,,,,,20,2014,4,21,1,1,5,2,0,3,3,9,0,3,1,1,0,3,6,6,1,1,9,9,9,0,0,9,5,51,513,0,14,1,176863,656884
2014000144,1,1,2,6600,401,,9999,,,,,,20,2014,3,20,1,4,5,5,9,3,4,8,0,3,1,1,2,3,6,,1,1,9,9,9,0,0,9,5,51,513,0,14,3,178512,658973
2014000148,1,1,1,8600,521,506,,110121,,,,,20,2014,3,5,1,4,5,4,9,2,4,8,1,0,1,1,2,3,6,7,1,1,9,9,9,0,0,9,5,51,512,0,14,1,181730,665299
2014000154,1,1,4,0,,,,,98,0,150,,12,2014,2,22,1,4,5,7,9,3,4,9,3,0,4,1,3,4,4,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,261728,736722
2014000158,1,1,3,0,,,,,4,553,1392,335,51,2014,1,14,1,4,5,3,9,3,4,8,0,2,5,1,3,4,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,189986,684907
2014000160,1,2,2,3616,160,,1,,,,,,43,2014,1,15,1,4,5,4,9,3,4,8,3,0,1,1,2,1,6,,1,1,9,9,9,0,0,9,7,77,777,0,16,3,228171,630678
2014000163,1,1,4,0,,,,,42,0,860,,52,2014,1,5,1,4,5,1,9,3,5,8,2,0,4,1,3,4,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,172896,637701
2014000165,1,1,1,6500,636,644,,8360001,,,,,11,2014,2,21,1,4,5,6,0,3,5,9,0,3,1,1,3,1,6,1,1,1,3,1,9,0,0,9,3,32,324,0,15,1,189865,705585
2014000166,1,2,4,0,,,,,60,0,1100,,43,2014,2,27,1,4,5,5,9,3,5,8,2,0,4,1,2,3,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,224451,650651
2014000167,1,1,4,0,,,,,38,0,160,,61,2014,2,27,1,4,5,5,9,3,5,9,2,0,4,0,3,3,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,196931,626403
2014000168,1,1,4,0,,,,,87,0,81,,12,2014,3,9,25,4,5,1,9,1,5,9,2,0,4,1,3,3,6,,2,2,9,9,9,0,0,9,9,99,999,99,99,1,258029,756477
2014000170,1,1,2,9000,843,,9999,,,,,,34,2014,3,18,1,4,5,3,9,3,5,8,3,0,1,1,2,3,3,7,1,1,9,9,9,0,0,9,6,62,623,0,14,3,182345,573797
2014000171,1,1,1,1167,186,125,,100087,,,,,11,2014,3,19,1,4,5,4,0,3,5,9,3,0,1,1,2,3,6,1,1,1,9,9,9,0,0,9,3,32,324,15,19,1,191441,713526
2014000172,1,1,2,509,0,,9999,,,,,,14,2014,3,31,1,4,5,2,9,3,5,9,2,0,2,1,4,3,3,,1,1,9,9,9,0,0,9,2,23,237,99,26,2,232357,739116
2014000173,1,1,4,0,,,,,57,0,10,,51,2014,4,12,1,4,5,7,9,3,5,8,9,0,3,1,3,3,3,2,1,1,3,1,9,0,0,9,9,99,999,99,99,1,188570,692301
2014000178,1,1,2,435,,,9999,,,,,,14,2014,3,25,1,4,5,3,9,2,8,9,0,3,2,1,4,3,3,,1,1,5,2,9,0,0,9,4,43,432,30,33,2,183493,647865
2014000179,1,1,3,0,,,,,60,675,2033,1059,14,2014,4,1,1,4,5,3,1,3,8,8,0,3,2,1,3,3,3,2,1,1,8,1,9,0,0,9,9,99,999,99,99,1,230098,718213
2014000180,1,1,2,8300,307,,63,,,,,,52,2014,3,18,1,4,5,3,9,2,8,9,0,2,1,1,4,3,3,2,1,1,6,2,9,0,0,9,4,44,442,0,13,1,181486,652725
2014000184,1,1,2,1061,269,,9999,,,,,,14,2014,2,12,1,4,5,4,9,3,8,8,3,0,1,1,2,4,6,,1,1,2,2,9,0,0,9,2,23,237,0,16,3,231297,736220
2014000188,1,1,2,1314,0,,9999,,,,,,12,2014,2,15,1,4,5,7,9,3,8,9,0,2,5,1,5,3,6,,1,1,6,9,9,0,0,9,2,24,243,52,37,2,217515,770201
2014000190,1,1,2,7800,104,,9999,,,,,,11,2014,1,8,1,4,5,4,9,3,8,9,0,2,5,0,3,3,3,,1,1,6,2,9,0,0,9,3,32,324,99,16,3,196426,709523
2014000197,1,1,4,0,,,,,789,0,18,,12,2014,2,1,1,4,5,7,9,2,9,9,3,0,4,1,3,3,6,,1,1,6,2,9,0,0,9,9,99,999,99,99,1,262869,747749
2014000198,1,2,4,0,,,,,90,0,2996,,43,2014,2,14,1,4,5,6,9,3,9,8,3,0,5,1,4,3,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,245829,642917
2014000201,1,2,4,0,,,,,55,0,135,,41,2014,3,21,1,4,5,6,9,3,10,9,2,0,4,1,0,3,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,201183,677064
2014000202,1,1,4,0,,,,,65,,170,,11,2014,3,6,1,4,5,5,9,3,10,9,0,2,5,1,3,3,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,204962,710537
2014000203,1,2,4,0,,,,,55,0,93,,41,2014,1,21,1,4,5,3,9,3,10,8,3,0,4,1,4,3,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,197392,675580
2014000204,1,2,4,0,,,,,90,0,3630,,41,2014,1,12,1,4,5,1,9,3,11,9,9,0,4,0,3,3,5,,5,1,5,9,9,0,0,9,9,99,999,99,99,1,247364,698068
2014000206,1,1,2,5000,2562,,45,,,,,,20,2014,2,3,1,4,5,2,9,3,11,8,0,3,1,1,3,3,6,,1,1,9,9,9,0,0,9,5,51,511,0,13,1,180457,663537
2014000218,1,1,2,2730,0,,9999,,,,,,51,2014,4,21,1,1,5,2,9,3,12,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,41,412,0,26,2,200842,685746
2014000225,1,1,2,6100,207,,23,,,,,,20,2014,1,7,1,4,5,3,9,2,13,8,3,0,1,1,3,3,3,,1,1,9,9,9,0,0,9,5,51,512,0,14,1,185144,666874
2014000238,1,1,2,8300,271,,4,,,,,,52,2014,4,1,1,4,5,3,9,3,8,8,1,0,1,1,0,3,3,,1,1,8,9,9,0,0,9,4,44,442,0,13,3,180887,651377
2014000241,1,1,1,3000,301,125,,92870562,,,,,61,2014,4,16,1,3,5,4,9,3,1,8,1,0,1,1,3,3,3,7,1,1,9,9,9,3,3,1,1,11,111,0,12,1,220542,633463
2014000242,1,1,3,0,,,,,70,762,449,1205,11,2014,1,27,1,4,5,2,1,3,2,8,3,0,2,1,2,3,3,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,208602,740840
2014000243,1,1,3,0,,,,,431,4313,163,4186,52,2014,1,31,1,4,5,6,1,3,2,8,0,3,5,0,5,3,3,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,182696,649655
2014000244,1,1,4,0,,,,,65,0,160,,11,2014,1,27,1,4,5,2,9,3,3,9,0,2,5,1,3,3,3,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,204144,709965
2014000245,1,1,2,6900,420,,120,,,,,,51,2014,1,13,1,4,5,2,9,3,3,8,0,3,1,1,3,4,3,,1,1,9,9,9,0,0,9,4,42,421,0,15,1,191414,677457
2014000250,1,1,1,3000,350,422,,10143,,,,,61,2014,1,31,1,4,5,6,0,3,4,9,9,0,1,0,2,3,3,1,1,1,9,9,9,0,0,9,1,11,111,0,12,1,220828,632540
2014000251,1,1,4,0,,,,,40,0,2130,,38,2014,3,20,1,4,5,5,9,3,8,8,0,2,5,1,3,3,3,7,4,1,6,2,9,0,0,9,9,99,999,99,99,1,178768,598413
2014000252,1,1,2,6600,969,,23,,,,,,20,2014,3,29,1,4,5,7,9,1,10,8,3,0,1,1,3,3,3,,1,1,9,9,9,0,0,9,5,51,513,0,14,3,179354,657691
2014000255,1,1,2,9600,161,,92,,,,,,11,2014,1,11,1,4,5,7,9,3,2,8,1,0,1,1,3,3,3,,1,1,9,9,9,0,0,9,3,31,311,0,16,1,207723,750918
2014000256,1,1,2,7400,432,,12,,,,,,51,2014,2,14,1,4,5,6,9,3,1,8,1,0,1,1,3,3,3,,1,1,9,9,7,0,0,9,4,41,411,0,14,1,186487,692763
2014000257,1,1,2,9000,1369,,9999,,,,,,34,2014,2,7,1,4,5,6,9,3,2,8,0,3,3,0,3,3,3,2,1,1,9,9,9,0,0,9,6,62,623,0,14,3,180800,571828
2014000258,1,1,1,2630,125,147,,7300004,,,,,38,2014,4,1,1,4,5,3,0,3,2,9,2,0,1,1,3,3,3,1,1,1,9,9,9,0,0,9,6,61,612,0,16,1,179144,613123
2014000259,1,1,2,9000,1402,,9999,,,,,,34,2014,3,28,1,4,5,6,9,1,3,8,0,3,1,1,3,3,3,7,1,1,9,9,9,0,0,9,6,62,623,0,14,3,176767,575209
2014000262,1,1,2,4000,1012,,80,,,,,,11,2014,2,12,1,4,5,4,9,3,4,9,3,0,1,1,3,3,3,,1,1,9,9,9,0,0,9,3,31,311,0,13,1,201801,744672
2014000263,1,1,1,6100,503,304,,7930014,,,,,20,2014,1,21,1,4,5,3,1,3,4,8,9,0,1,0,4,3,3,2,1,1,9,9,9,0,0,9,5,51,512,0,14,1,184423,666612
2014000264,1,1,4,0,,,,,1,0,50,,11,2014,4,5,1,4,5,7,9,3,8,9,0,2,5,1,3,3,3,2,1,1,5,1,9,0,0,9,9,99,999,99,99,1,183555,658159
2014000266,1,1,2,627,0,,9999,,,,,,51,2014,2,1,1,4,5,7,9,3,8,8,3,0,1,1,2,3,3,7,1,1,5,9,9,0,0,9,4,42,421,99,28,2,195761,673275
2014000270,1,1,3,0,,,,,20,0,60,8062,20,2014,4,9,2,4,5,4,1,3,2,6,3,0,1,1,0,3,3,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,177427,656553
2014000274,1,1,2,5000,2426,,17,,,,,,20,2014,1,24,2,4,5,6,9,3,4,9,9,0,1,0,2,3,3,7,1,1,9,9,9,0,0,9,5,51,511,0,13,1,179187,660970
2014000279,1,1,1,3000,937,612,,92872049,,,,,61,2014,3,18,2,4,5,3,1,3,2,11,2,0,1,1,1,3,3,2,1,1,9,9,9,0,0,9,1,11,111,0,12,1,219051,632989
2014000280,1,1,2,7100,1121,,8,,,,,,38,2014,1,15,2,4,5,4,9,3,2,9,3,0,1,1,2,3,3,,1,1,9,9,9,0,0,9,6,61,614,0,14,3,158223,619847
2014000281,1,1,1,5000,180,1011,,20700111,,,,,20,2014,1,31,2,4,5,6,1,3,2,8,0,5,1,0,4,3,3,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,180659,667465
2014000283,1,1,3,0,,,,,35,40,159,577,38,2014,3,4,2,4,5,3,1,3,2,9,0,2,5,1,4,3,3,2,1,1,6,2,9,0,0,9,9,99,999,99,99,1,177055,614921
2014000284,1,1,1,4000,592,,,,,,,,11,2014,2,27,2,4,5,5,1,3,2,8,3,0,1,1,1,3,6,2,1,1,9,9,9,0,0,9,3,31,311,0,13,3,196545,746583
2014000288,1,1,2,481,0,,9999,,,,,,14,2014,3,11,2,4,5,3,9,2,11,5,3,0,1,1,3,3,3,,1,2,9,9,9,0,0,9,2,22,222,99,26,2,238909,754718
2014000293,1,1,3,0,,,,,4,6531,1706,375,11,2014,1,10,3,4,5,6,1,2,1,8,0,3,5,1,3,3,3,2,1,1,9,9,9,1,1,1,9,99,999,99,99,1,193559,715570
2014000295,1,1,4,0,,,,,89,0,181,,12,2014,2,9,3,4,5,1,9,3,2,8,3,0,5,1,4,3,3,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,226230,768840
2014000297,1,1,1,8300,195,1353,,19720322,,,,,52,2014,2,19,3,4,5,4,9,3,2,8,2,0,1,1,5,3,3,7,1,1,9,9,9,0,0,9,4,44,442,0,13,1,177720,653794
2014000298,1,1,1,3000,1308,1337,,13670412,,,,,61,2014,4,7,3,4,5,2,1,2,2,9,0,3,1,0,3,3,3,2,1,1,9,9,9,0,0,9,1,11,111,0,12,1,218903,629254
2014000299,1,1,1,565,118,150,,490001,,,,,20,2014,4,13,3,4,5,1,0,3,2,9,0,3,1,1,0,3,3,6,1,1,9,9,9,0,0,9,5,51,513,99,17,1,182042,659203
2014000300,1,1,3,0,,,,,89,8833,72,1439,12,2014,4,15,3,1,5,3,1,3,2,9,3,0,5,1,5,3,3,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,216335,768965
2014000308,1,1,4,0,,,,,1,0,410,,61,2014,2,10,3,4,5,2,9,3,3,9,0,3,3,0,3,3,3,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,204449,634673
2014000309,1,1,2,5000,461,,77,,,,,,20,2014,1,13,3,4,5,2,9,3,3,8,1,0,1,1,2,3,3,,1,1,9,9,9,0,0,9,5,51,511,0,13,1,178175,664956
2014000310,1,1,4,0,,,,,38,0,220,,61,2014,1,8,3,4,5,4,9,3,3,8,9,0,4,0,3,3,3,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,199984,630747
2014000313,1,1,3,0,,,,,2,0,242,3748,20,2014,1,1,3,4,5,4,1,3,4,8,3,0,1,1,3,3,6,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,182527,674515
2014000316,1,1,2,4000,275,,9999,,,,,,11,2014,2,11,3,4,5,3,9,3,4,9,3,0,1,1,4,3,3,,1,1,9,9,9,0,0,9,3,31,311,0,13,3,206955,746129
2014000317,1,1,2,2500,203,,1,,,,,,11,2014,4,8,3,4,5,3,9,3,4,9,3,0,1,0,0,5,6,,9,9,9,9,9,0,0,9,3,31,311,0,16,1,203826,741963
2014000320,1,1,2,8400,219,,6,,,,,,52,2014,1,3,3,4,5,6,9,3,5,9,3,0,1,0,3,4,6,,1,1,9,9,9,0,0,9,4,44,441,0,14,1,180108,643726
2014000322,1,1,1,5000,476,4691,,80151479,,,,,20,2014,1,4,3,4,5,7,0,3,7,8,9,0,1,0,2,3,3,1,1,1,9,9,9,0,0,9,5,51,511,0,13,1,184207,669947
2014000323,1,1,2,3000,,,9999,,,,,,61,2014,1,10,3,4,5,6,9,3,7,9,0,2,1,1,2,3,3,7,1,1,9,9,9,0,0,9,1,11,111,0,12,2,220873,632228
2014000327,1,1,2,2610,410,,9999,,,,,,61,2014,3,28,3,4,5,6,9,3,8,8,0,3,1,1,3,3,3,7,1,1,1,9,9,0,0,9,1,11,112,0,15,3,199622,625570
2014000331,1,1,2,4000,199,,9999,,,,,,11,2014,1,3,3,4,5,6,9,3,8,8,2,0,1,1,2,3,3,6,1,1,8,4,9,0,0,9,3,31,311,0,13,3,206080,746836
