,id,fcode_type,yishuv_symbol,yishuv_name,school_name,school_latin_name,usg,usg_code,e_ord,n_ord,longitude,latitude,geom,data_year,prdct_ver,x,y
405,54451909,252,9000,באר שבע,בית ספר - אשל אברהם,,13,5310,179193.5864,575312.8173,34.78174502,31.2688105,0101000020e6100000fe5a8738106441404752d2c3d0443f40,2014,,179193.5864,575312.8173
406,54452763,252,9000,באר שבע,גן ילדים - גן שומרון,,13,5305,177641.6549,572855.9264,34.76555245,31.24659741,0101000020e6100000b40f689ffd614140723a0302213f3f40,2014,,177641.6549,572855.9264
407,54449603,252,9000,באר שבע,בית ספר - יהושע,,13,5310,177609.3525,571875.0174,34.7652543,31.23774951,0101000020e6100000cacf57daf36141400c17e226dd3c3f40,2014,,177609.3525,571875.0174
408,54450671,252,9000,באר שבע,בית ספר - תורני לבנות בית יעקוב,,13,5310,180155.2414,575472.868,34.79183604,31.2702868,0101000020e61000000dcc23e25a6541405e8a068431453f40,2014,,180155.2414,575472.868
409,54450927,252,9000,באר שבע,בית ספר - ממלכתי חזון עובדיה,,13,5312,181720.9617,573575.7005,34.80834775,31.2532281,0101000020e6100000c90567f077674140a0ed878ed3403f40,2014,,181720.9617,573575.7005
410,54446466,252,9000,באר שבע,ישיבת - בני עקיבא אוהל שלמה,,13,5340,179959.5282,575697.1162,34.78977219,31.27230266,0101000020e61000008fab4f411765414056508ba0b5453f40,2014,,179959.5282,575697.1162
411,54446959,252,9000,באר שבע,"קרית אוניברסיטת בן גוריון ע""ש דוד טוביה",,13,5380,181125.0983,572845.4434,34.80212018,31.24662252,0101000020e6100000e447c2dfab6641406bdb49a7223f3f40,2014,,181125.0983,572845.4434
412,54447389,252,9000,באר שבע,פנימיה - לילדים עוגן,,13,5338,178197.0461,574825.6504,34.77130151,31.26438194,0101000020e610000018670402ba624140faf3e988ae433f40,2014,,178197.0461,574825.6504
413,54452922,252,9000,באר שבע,"מרכז לילדים נפגעים בי""ס מגן",,13,5300,179352.6099,575292.9433,34.78341555,31.26863674,0101000020e6100000c436f3f546644140d7cd9c60c5443f40,2014,,179352.6099,575292.9433
414,54453137,252,9000,באר שבע,בית ספר - ממלכתי בית יעקב לבנים,,13,5312,179487.1848,571579.4453,34.7849767,31.23514958,0101000020e61000009f4fd31d7a644140a5c44bc3323c3f40,2014,,179487.1848,571579.4453
415,54451485,252,9000,באר שבע,גן ילדים - גן דקל,,13,5305,181885.1371,575295.4112,34.81000679,31.26874338,0101000020e6100000424b704dae674140d31dbc5dcc443f40,2014,,181885.1371,575295.4112
416,54451390,252,9000,באר שבע,"בית ספר - מ""מ אילנות",,13,5310,178587.3784,573530.813,34.7754526,31.25271767,0101000020e6100000914ce2074263414075c5ef1ab2403f40,2014,,178587.3784,573530.813
417,54452344,252,9000,באר שבע,המכללה - הטכנולוגית חיל האוויר,,13,5370,176638.143,573674.4145,34.75498318,31.25394287,0101000020e6100000a790f149a3604140cfb3616602413f40,2014,,176638.143,573674.4145
418,54446904,252,9000,באר שבע,בית ספר - רעות,,13,5310,179647.4122,573010.5281,34.78660165,31.24806192,0101000020e610000065dde45caf64414071c869fc803f3f40,2014,,179647.4122,573010.5281
419,54446740,252,9000,באר שבע,בית ספר - מענית,,13,5310,179976.7334,571041.0065,34.79013629,31.23031008,0101000020e610000065779a2f23654140058af599f53a3f40,2014,,179976.7334,571041.0065
420,54452658,252,9000,באר שבע,בית ספר - טובייה,,13,5330,177301.993,574667.2682,34.76191066,31.26292149,0101000020e61000003e96db498661414031f7a0d24e433f40,2014,,177301.993,574667.2682
421,54452684,252,9000,באר שבע,"בית ספר - המאוחד דתי אמי""ת",,13,5321,179017.1929,574078.9308,34.77994273,31.25767608,0101000020e61000002e0dd329d5634140bd8f400ff7413f40,2014,,179017.1929,574078.9308
422,54447707,252,9000,באר שבע,בית ספר מקיף א,,13,5330,180989.5589,573603.4585,34.80066826,31.25345456,0101000020e610000097d22b4c7c664140da38e665e2403f40,2014,,180989.5589,573603.4585
423,54449287,252,9000,באר שבע,ישיבה - חרדית,,13,5340,178217.255,574684.3243,34.77151952,31.26310805,0101000020e61000001450d126c16241407810960c5b433f40,2014,,178217.255,574684.3243
424,54449418,252,9000,באר שבע,בית ספר - קהילתי על אזורי אולומות,,13,5310,180090.0352,575432.082,34.79115297,31.26991676,0101000020e61000004224228044654140a0d7c84319453f40,2014,,180090.0352,575432.082
425,54450081,252,9000,באר שבע,מרכז לימודי ישראל יפה,,13,5300,179480.664,572388.131,34.78487601,31.24244285,0101000020e6100000b72e2dd17664414027e60fbc103e3f40,2014,,179480.664,572388.131
426,54450373,252,9000,באר שבע,גן ילדים - גן שולה,,13,5305,179443.2172,571572.433,34.78451548,31.23508483,0101000020e610000023e7d4006b644140bfa2f8842e3c3f40,2014,,179443.2172,571572.433
427,54452017,252,9000,באר שבע,"בית ספר - אמי""ת נתיבי עם",,13,5312,178303.4494,572922.124,34.77249688,31.24721797,0101000020e610000057ee812de16241402e2248ad493f3f40,2014,,178303.4494,572922.124
428,54451418,252,9000,באר שבע,בית ספר - עוצר חיים,,13,5310,179062.4376,574984.2685,34.78038122,31.26584281,0101000020e610000003282588e3634140a5d33e460e443f40,2014,,179062.4376,574984.2685
429,54447337,252,9000,באר שבע,"בית ספר - אמי""ת מרכז טכנולוגי דתי",,13,5332,180309.6426,575783.6852,34.79344511,31.27309523,0101000020e6100000814fff9b8f654140298ba991e9453f40,2014,,180309.6426,575783.6852
430,54447469,252,9000,באר שבע,בית ספר - אוצר החיים,,13,5310,180073.4086,575091.7176,34.79099178,31.26684648,0101000020e61000009e40f9373f65414019a7080d50443f40,2014,,180073.4086,575091.7176
431,54449273,252,9000,באר שבע,בית ספר - לבנות אוהל שלמה,,13,5337,178144.2116,573873.2664,34.77078606,31.25579061,0101000020e6100000d3f41b1ea9624140ea92507e7b413f40,2014,,178144.2116,573873.2664
432,54453060,252,9000,באר שבע,ישיבת - באר יצחק,,13,5340,178906.5897,575032.4252,34.77874294,31.26627172,0101000020e61000003ca541d9ad634140ea3f29622a443f40,2014,,178906.5897,575032.4252
433,54450606,252,9000,באר שבע,פנימיה - עדנים,,13,5338,179565.6352,572006.0747,34.78578316,31.23900002,0101000020e610000049f9e68a94644140b2a4f51a2f3d3f40,2014,,179565.6352,572006.0747
434,64763984,252,9000,באר שבע,גן ילדים - גן צופית,,13,5305,177602.4753,571217.9529,34.76520953,31.23182324,0101000020e610000001f8c862f2614140b54092c4583b3f40,2014,,177602.4753,571217.9529
435,54449435,252,9000,באר שבע,בית ספר - אשכול,,13,5310,178687.9308,572507.8243,34.77654983,31.24349493,0101000020e61000003dc81dfc65634140811709af553e3f40,2014,,178687.9308,572507.8243
436,54452074,252,9000,באר שבע,"בית ספר - רמב""ם",,13,5312,179125.3513,573440.891,34.78110393,31.2519254,0101000020e61000004410ad36fb6341401d08da2e7e403f40,2014,,179125.3513,573440.891
